"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","E00004482","E00004482","Total",121,0,19,49,21,16,16
"2011","E00004497","E00004497","Total",117,0,69,24,18,5,1
"2011","E00004498","E00004498","Total",145,3,34,69,31,6,2
"2011","E00004502","E00004502","Total",120,0,51,44,11,14,0
"2011","E00004505","E00004505","Total",124,0,33,29,46,11,5
"2011","E00004481","E00004481","Total",133,0,34,45,33,19,2
"2011","E00004493","E00004493","Total",118,4,69,37,7,1,0
"2011","E00004500","E00004500","Total",131,1,125,5,0,0,0
"2011","E00004501","E00004501","Total",76,0,49,25,1,1,0
"2011","E00004503","E00004503","Total",132,0,71,32,27,1,1
"2011","E00004506","E00004506","Total",133,0,52,29,33,12,7
"2011","E00004507","E00004507","Total",104,0,16,7,36,36,9
"2011","E00004504","E00004504","Total",117,1,1,4,15,65,31
"2011","E00004508","E00004508","Total",150,1,35,37,53,14,10
"2011","E00004509","E00004509","Total",122,0,20,21,26,32,23
"2011","E00004510","E00004510","Total",128,0,28,36,33,16,15
"2011","E00004511","E00004511","Total",144,0,42,35,18,26,23
"2011","E00004486","E00004486","Total",116,0,8,32,41,29,6
"2011","E00004487","E00004487","Total",112,1,57,30,18,4,2
"2011","E00004489","E00004489","Total",120,3,25,27,54,11,0
"2011","E00004490","E00004490","Total",94,2,20,25,26,17,4
"2011","E00004491","E00004491","Total",149,0,67,18,55,9,0
"2011","E00004517","E00004517","Total",109,0,30,6,54,18,1
"2011","E00004492","E00004492","Total",128,0,10,26,27,28,37
"2011","E00004494","E00004494","Total",182,3,48,56,29,27,19
"2011","E00004495","E00004495","Total",126,1,15,50,31,15,14
"2011","E00004496","E00004496","Total",151,2,18,50,37,29,15
"2011","E00004499","E00004499","Total",135,2,12,17,14,42,48
"2011","E00004411","E00004411","Total",114,1,42,38,11,6,16
"2011","E00004412","E00004412","Total",128,0,46,41,16,13,12
"2011","E00004414","E00004414","Total",123,4,32,41,23,9,14
"2011","E00004416","E00004416","Total",114,2,30,33,20,14,15
"2011","E00004418","E00004418","Total",114,0,33,40,14,13,14
"2011","E00004423","E00004423","Total",122,0,23,59,25,11,4
"2011","E00004401","E00004401","Total",128,0,33,39,23,15,18
"2011","E00004404","E00004404","Total",116,0,14,33,38,14,17
"2011","E00004417","E00004417","Total",125,0,25,34,15,34,17
"2011","E00004421","E00004421","Total",123,2,21,34,22,32,12
"2011","E00004429","E00004429","Total",127,0,54,36,21,13,3
"2011","E00004409","E00004409","Total",108,0,24,35,38,9,2
"2011","E00004410","E00004410","Total",120,0,20,53,28,17,2
"2011","E00004415","E00004415","Total",139,0,41,48,32,15,3
"2011","E00004419","E00004419","Total",126,2,54,42,22,5,1
"2011","E00004422","E00004422","Total",92,5,39,22,14,10,2
"2011","E00004428","E00004428","Total",131,0,52,66,12,0,1
"2011","E00004430","E00004430","Total",125,0,105,16,4,0,0
"2011","E00004402","E00004402","Total",127,0,48,36,19,7,17
"2011","E00004420","E00004420","Total",112,0,20,34,19,22,17
"2011","E00004424","E00004424","Total",117,0,35,50,27,1,4
"2011","E00004425","E00004425","Total",140,0,24,39,36,26,15
"2011","E00004426","E00004426","Total",143,0,52,47,20,7,17
"2011","E00004427","E00004427","Total",117,0,12,18,32,34,21
"2011","E00004403","E00004403","Total",128,0,14,41,45,17,11
"2011","E00004405","E00004405","Total",128,0,21,40,39,16,12
"2011","E00004406","E00004406","Total",117,2,27,34,31,16,7
"2011","E00004407","E00004407","Total",118,0,16,29,35,14,24
"2011","E00004408","E00004408","Total",106,1,11,28,29,20,17
"2011","E00004413","E00004413","Total",101,0,20,33,30,12,6
"2011","E00004483","E00004483","Total",114,0,41,24,18,15,16
"2011","E00004485","E00004485","Total",123,2,35,39,34,10,3
"2011","E00004513","E00004513","Total",102,1,24,21,11,13,32
"2011","E00004514","E00004514","Total",116,2,31,15,27,21,20
"2011","E00004516","E00004516","Total",133,0,20,27,38,36,12
"2011","E00004484","E00004484","Total",112,1,17,17,51,21,5
"2011","E00004488","E00004488","Total",82,2,14,17,39,10,0
"2011","E00004512","E00004512","Total",120,0,35,66,6,6,7
"2011","E00004515","E00004515","Total",121,2,46,39,14,13,7
"2011","E00004518","E00004518","Total",116,0,50,29,31,5,1
"2011","E00004519","E00004519","Total",112,0,24,21,48,17,2
"2011","E00004575","E00004575","Total",184,5,121,25,20,7,6
"2011","E00004578","E00004578","Total",154,4,99,32,7,9,3
"2011","E00004580","E00004580","Total",151,1,68,57,22,3,0
"2011","E00004581","E00004581","Total",101,3,20,40,26,8,4
"2011","E00004582","E00004582","Total",127,5,44,37,14,14,13
"2011","E00004593","E00004593","Total",229,3,87,69,50,17,3
"2011","E00004587","E00004587","Total",121,1,43,47,11,10,9
"2011","E00004589","E00004589","Total",125,4,36,32,20,22,11
"2011","E00004590","E00004590","Total",99,1,38,28,19,11,2
"2011","E00004592","E00004592","Total",99,1,44,24,12,13,5
"2011","E00004595","E00004595","Total",104,0,31,22,30,14,7
"2011","E00004596","E00004596","Total",108,2,12,59,24,9,2
"2011","E00004576","E00004576","Total",140,0,30,70,25,8,7
"2011","E00004577","E00004577","Total",124,0,25,54,26,16,3
"2011","E00004579","E00004579","Total",105,0,33,28,22,17,5
"2011","E00004583","E00004583","Total",142,1,35,50,24,13,19
"2011","E00004584","E00004584","Total",171,1,81,51,17,14,7
"2011","E00004323","E00004323","Total",96,0,24,48,15,6,3
"2011","E00004328","E00004328","Total",95,0,6,23,44,18,4
"2011","E00004353","E00004353","Total",137,0,11,72,50,4,0
"2011","E00004354","E00004354","Total",108,0,15,29,31,16,17
"2011","E00004358","E00004358","Total",114,0,17,39,39,7,12
"2011","E00004324","E00004324","Total",122,1,21,43,29,15,13
"2011","E00004325","E00004325","Total",113,0,43,28,27,8,7
"2011","E00004330","E00004330","Total",146,2,47,65,27,3,2
"2011","E00004355","E00004355","Total",122,0,29,33,45,8,7
"2011","E00004361","E00004361","Total",99,0,22,22,26,16,13
"2011","E00004327","E00004327","Total",140,0,35,47,47,3,8
"2011","E00004329","E00004329","Total",124,1,35,38,32,13,5
"2011","E00004356","E00004356","Total",121,2,29,24,31,13,22
"2011","E00004357","E00004357","Total",118,0,10,31,38,14,25
"2011","E00004360","E00004360","Total",118,1,14,47,42,8,6
"2011","E00004322","E00004322","Total",114,0,10,32,26,13,33
"2011","E00004347","E00004347","Total",97,0,16,19,24,7,31
"2011","E00004348","E00004348","Total",131,2,42,34,18,11,24
"2011","E00004349","E00004349","Total",117,0,12,20,25,24,36
"2011","E00004352","E00004352","Total",118,0,8,35,34,14,27
"2011","E00004345","E00004345","Total",121,0,3,32,38,19,29
"2011","E00004346","E00004346","Total",94,0,7,14,48,13,12
"2011","E00004350","E00004350","Total",125,0,19,51,33,16,6
"2011","E00004351","E00004351","Total",131,0,10,40,55,17,9
"2011","E00004359","E00004359","Total",121,0,4,34,36,17,30
"2011","E00004295","E00004295","Total",175,0,42,45,33,28,27
"2011","E00004296","E00004296","Total",133,1,36,39,19,29,9
"2011","E00004298","E00004298","Total",112,0,22,20,10,18,42
"2011","E00004303","E00004303","Total",113,0,12,19,40,17,25
"2011","E00004311","E00004311","Total",99,0,20,23,17,24,15
"2011","E00004300","E00004300","Total",111,1,27,32,24,17,10
"2011","E00004301","E00004301","Total",241,8,118,64,29,8,14
"2011","E00004302","E00004302","Total",143,3,64,21,32,10,13
"2011","E00004314","E00004314","Total",153,1,84,30,22,3,13
"2011","E00004316","E00004316","Total",122,2,62,43,10,1,4
"2011","E00004319","E00004319","Total",143,0,59,64,16,2,2
"2011","E00004307","E00004307","Total",150,0,21,27,42,37,23
"2011","E00004308","E00004308","Total",123,0,38,36,29,6,14
"2011","E00004312","E00004312","Total",150,0,64,50,12,11,13
"2011","E00004317","E00004317","Total",161,1,42,42,39,27,10
"2011","E00004318","E00004318","Total",126,0,21,40,52,12,1
"2011","E00004305","E00004305","Total",134,0,21,30,25,47,11
"2011","E00004306","E00004306","Total",157,1,37,55,33,26,5
"2011","E00004310","E00004310","Total",128,1,16,26,43,38,4
"2011","E00004313","E00004313","Total",131,0,32,51,16,30,2
"2011","E00004315","E00004315","Total",154,0,53,43,37,18,3
"2011","E00004285","E00004285","Total",144,10,69,32,24,4,5
"2011","E00004297","E00004297","Total",154,7,55,61,16,8,7
"2011","E00004299","E00004299","Total",135,0,41,33,27,32,2
"2011","E00004304","E00004304","Total",178,0,60,42,40,23,13
"2011","E00004309","E00004309","Total",115,4,18,27,36,25,5
"2011","E00004381","E00004381","Total",117,0,25,41,31,13,7
"2011","E00004384","E00004384","Total",101,0,30,47,11,5,8
"2011","E00004385","E00004385","Total",91,0,24,27,14,17,9
"2011","E00004389","E00004389","Total",108,0,27,37,17,12,15
"2011","E00004392","E00004392","Total",95,0,4,17,61,7,6
"2011","E00004394","E00004394","Total",94,0,31,48,9,2,4
"2011","E00004365","E00004365","Total",139,1,67,41,15,13,2
"2011","E00004383","E00004383","Total",103,3,31,33,8,12,16
"2011","E00004387","E00004387","Total",89,0,29,29,13,9,9
"2011","E00004390","E00004390","Total",113,0,20,39,31,13,10
"2011","E00004393","E00004393","Total",113,0,19,58,26,10,0
"2011","E00004395","E00004395","Total",133,1,64,32,14,12,10
"2011","E00004382","E00004382","Total",139,3,50,50,8,16,12
"2011","E00004386","E00004386","Total",101,0,24,37,12,13,15
"2011","E00004388","E00004388","Total",99,0,33,26,11,13,16
"2011","E00004391","E00004391","Total",128,0,37,28,20,24,19
"2011","E00004396","E00004396","Total",131,0,57,43,24,4,3
"2011","E00004398","E00004398","Total",99,1,15,44,31,6,2
"2011","E00004367","E00004367","Total",148,1,38,83,21,4,1
"2011","E00004368","E00004368","Total",175,11,73,40,20,10,21
"2011","E00004372","E00004372","Total",109,3,17,11,60,9,9
"2011","E00004375","E00004375","Total",119,2,40,44,9,11,13
"2011","E00004378","E00004378","Total",137,1,32,53,34,13,4
"2011","E00004379","E00004379","Total",135,0,22,69,33,5,6
"2011","E00004441","E00004441","Total",115,0,29,33,33,17,3
"2011","E00004447","E00004447","Total",77,1,53,20,2,0,1
"2011","E00004451","E00004451","Total",118,1,42,44,12,18,1
"2011","E00004452","E00004452","Total",143,1,51,51,30,8,2
"2011","E00004457","E00004457","Total",117,0,20,68,14,10,5
"2011","E00004480","E00004480","Total",116,0,31,52,20,11,2
"2011","E00004362","E00004362","Total",127,2,17,65,37,3,3
"2011","E00004370","E00004370","Total",117,0,63,10,30,12,2
"2011","E00004376","E00004376","Total",176,2,64,40,55,14,1
"2011","E00004397","E00004397","Total",106,1,31,31,28,8,7
"2011","E00004399","E00004399","Total",131,1,7,58,57,6,2
"2011","E00004363","E00004363","Total",153,0,53,5,83,12,0
"2011","E00004366","E00004366","Total",165,4,115,20,22,4,0
"2011","E00004369","E00004369","Total",123,0,27,45,48,3,0
"2011","E00004373","E00004373","Total",146,0,54,41,46,5,0
"2011","E00004400","E00004400","Total",180,2,137,8,15,18,0
"2011","E00004364","E00004364","Total",225,8,93,63,36,15,10
"2011","E00004371","E00004371","Total",103,4,58,26,6,8,1
"2011","E00004374","E00004374","Total",97,8,33,30,19,7,0
"2011","E00004377","E00004377","Total",95,5,35,31,14,10,0
"2011","E00004380","E00004380","Total",152,0,79,40,19,5,9
"2011","E00004444","E00004444","Total",160,3,56,73,22,5,1
"2011","E00004445","E00004445","Total",105,1,44,22,28,8,2
"2011","E00004454","E00004454","Total",189,1,52,92,35,7,2
"2011","E00004456","E00004456","Total",124,2,12,67,38,4,1
"2011","E00174669","E00174669","Total",125,0,18,82,24,1,0
"2011","E00004563","E00004563","Total",195,1,59,57,33,16,29
"2011","E00004566","E00004566","Total",140,0,54,50,27,4,5
"2011","E00004568","E00004568","Total",157,0,54,56,33,9,5
"2011","E00004569","E00004569","Total",161,0,52,49,36,19,5
"2011","E00004570","E00004570","Total",131,0,17,64,34,14,2
"2011","E00004571","E00004571","Total",151,0,51,47,30,18,5
"2011","E00004572","E00004572","Total",160,0,30,100,29,1,0
"2011","E00004573","E00004573","Total",149,0,39,49,41,17,3
"2011","E00004574","E00004574","Total",143,3,30,39,42,24,5
"2011","E00004321","E00004321","Total",114,0,11,54,29,13,7
"2011","E00004326","E00004326","Total",117,1,57,19,24,15,1
"2011","E00004331","E00004331","Total",112,3,37,25,15,15,17
"2011","E00004336","E00004336","Total",175,1,77,60,21,14,2
"2011","E00004337","E00004337","Total",114,0,37,36,24,11,6
"2011","E00004320","E00004320","Total",112,0,10,39,40,16,7
"2011","E00004333","E00004333","Total",133,1,41,54,25,4,8
"2011","E00004335","E00004335","Total",145,0,48,45,32,13,7
"2011","E00004338","E00004338","Total",112,0,24,45,27,10,6
"2011","E00004341","E00004341","Total",132,1,56,49,20,6,0
"2011","E00004342","E00004342","Total",94,1,30,37,21,3,2
"2011","E00004332","E00004332","Total",87,0,35,28,16,5,3
"2011","E00004334","E00004334","Total",106,2,48,28,20,5,3
"2011","E00004339","E00004339","Total",112,0,36,53,16,4,3
"2011","E00004340","E00004340","Total",95,1,24,22,35,12,1
"2011","E00004343","E00004343","Total",120,0,45,45,25,2,3
"2011","E00004344","E00004344","Total",118,2,31,46,26,9,4
"2011","E00004431","E00004431","Total",106,0,8,51,17,17,13
"2011","E00004432","E00004432","Total",135,1,44,50,22,9,9
"2011","E00004433","E00004433","Total",139,2,26,66,31,9,5
"2011","E00004437","E00004437","Total",116,2,31,28,32,10,13
"2011","E00004439","E00004439","Total",113,0,10,51,31,14,7
"2011","E00004440","E00004440","Total",112,0,21,50,28,11,2
"2011","E00004435","E00004435","Total",119,0,72,18,18,7,4
"2011","E00004436","E00004436","Total",166,0,62,40,26,20,18
"2011","E00004438","E00004438","Total",118,4,63,26,13,7,5
"2011","E00174668","E00174668","Total",108,0,39,15,43,8,3
"2011","E00174670","E00174670","Total",107,2,39,31,26,7,2
"2011","E00174672","E00174672","Total",141,1,83,51,2,3,1
"2011","E00174673","E00174673","Total",91,6,82,3,0,0,0
"2011","E00004245","E00004245","Total",163,3,66,59,26,8,1
"2011","E00004247","E00004247","Total",156,0,73,39,18,16,10
"2011","E00004248","E00004248","Total",207,3,88,61,43,11,1
"2011","E00004254","E00004254","Total",119,0,40,42,29,8,0
"2011","E00004273","E00004273","Total",159,1,54,35,34,23,12
"2011","E00004276","E00004276","Total",122,4,49,41,16,9,3
"2011","E00004265","E00004265","Total",112,3,48,31,16,10,4
"2011","E00004266","E00004266","Total",156,5,60,51,33,3,4
"2011","E00004268","E00004268","Total",142,7,72,25,22,13,3
"2011","E00004269","E00004269","Total",121,4,50,48,15,4,0
"2011","E00004272","E00004272","Total",113,0,27,30,17,25,14
"2011","E00004274","E00004274","Total",130,0,44,42,30,8,6
"2011","E00004585","E00004585","Total",134,2,54,51,22,4,1
"2011","E00004586","E00004586","Total",116,1,35,44,12,13,11
"2011","E00004588","E00004588","Total",154,1,67,50,16,10,10
"2011","E00004594","E00004594","Total",124,0,63,39,19,3,0
"2011","E00004598","E00004598","Total",106,0,40,26,23,12,5
"2011","E00004599","E00004599","Total",161,1,81,39,24,15,1
"2011","E00004565","E00004565","Total",145,7,75,29,31,3,0
"2011","E00004591","E00004591","Total",112,3,35,36,22,7,9
"2011","E00004600","E00004600","Total",124,0,17,60,38,7,2
"2011","E00004601","E00004601","Total",117,0,12,52,48,4,1
"2011","E00004603","E00004603","Total",131,2,26,27,69,5,2
"2011","E00004562","E00004562","Total",123,0,46,42,16,17,2
"2011","E00004564","E00004564","Total",118,0,34,36,23,24,1
"2011","E00004567","E00004567","Total",128,0,6,47,61,11,3
"2011","E00004597","E00004597","Total",214,16,63,39,37,59,0
"2011","E00004602","E00004602","Total",115,1,36,41,18,16,3
"2011","E00004813","E00004813","Total",174,4,56,66,17,10,21
"2011","E00004820","E00004820","Total",136,0,40,49,29,12,6
"2011","E00004848","E00004848","Total",159,4,57,51,26,10,11
"2011","E00004849","E00004849","Total",138,1,8,70,40,3,16
"2011","E00004850","E00004850","Total",203,0,36,93,56,14,4
"2011","E00004853","E00004853","Total",144,3,44,54,26,4,13
"2011","E00004814","E00004814","Total",124,3,54,45,14,6,2
"2011","E00004818","E00004818","Total",138,6,95,23,12,1,1
"2011","E00004821","E00004821","Total",109,1,52,34,17,4,1
"2011","E00004824","E00004824","Total",130,1,72,39,17,0,1
"2011","E00004825","E00004825","Total",110,1,43,43,18,4,1
"2011","E00004826","E00004826","Total",125,1,46,58,15,5,0
"2011","E00004851","E00004851","Total",95,0,23,53,14,5,0
"2011","E00004816","E00004816","Total",131,1,69,21,14,8,18
"2011","E00004817","E00004817","Total",112,0,38,18,19,25,12
"2011","E00004819","E00004819","Total",138,0,32,29,22,36,19
"2011","E00004822","E00004822","Total",130,0,22,26,33,40,9
"2011","E00004852","E00004852","Total",138,0,55,32,28,21,2
"2011","E00004815","E00004815","Total",242,1,105,70,51,12,3
"2011","E00004823","E00004823","Total",180,1,80,50,39,10,0
"2011","E00004827","E00004827","Total",168,4,89,51,18,3,3
"2011","E00004828","E00004828","Total",133,0,71,15,28,18,1
"2011","E00004829","E00004829","Total",109,0,49,19,23,15,3
"2011","E00004831","E00004831","Total",117,2,65,30,12,5,3
"2011","E00004830","E00004830","Total",139,7,50,21,33,19,9
"2011","E00004832","E00004832","Total",147,0,56,34,41,15,1
"2011","E00004835","E00004835","Total",167,1,73,63,21,6,3
"2011","E00004837","E00004837","Total",191,3,77,71,27,8,5
"2011","E00004840","E00004840","Total",117,1,60,38,11,4,3
"2011","E00004841","E00004841","Total",133,3,40,62,23,4,1
"2011","E00004120","E00004120","Total",143,0,48,56,32,4,3
"2011","E00004140","E00004140","Total",111,0,27,60,13,4,7
"2011","E00004141","E00004141","Total",114,0,50,45,18,1,0
"2011","E00004142","E00004142","Total",133,5,62,27,31,6,2
"2011","E00004145","E00004145","Total",110,1,42,44,18,1,4
"2011","E00004152","E00004152","Total",113,1,31,42,17,12,10
"2011","E00004121","E00004121","Total",118,0,27,52,32,5,2
"2011","E00004143","E00004143","Total",126,4,42,49,21,6,4
"2011","E00004150","E00004150","Total",147,0,40,65,25,14,3
"2011","E00004154","E00004154","Total",122,0,34,48,27,12,1
"2011","E00004155","E00004155","Total",103,0,15,51,18,13,6
"2011","E00004156","E00004156","Total",126,2,60,29,30,3,2
"2011","E00004162","E00004162","Total",128,4,64,27,19,6,8
"2011","E00004126","E00004126","Total",144,2,59,44,24,13,2
"2011","E00004128","E00004128","Total",161,1,60,50,30,8,12
"2011","E00004129","E00004129","Total",142,1,43,67,24,2,5
"2011","E00004131","E00004131","Total",119,1,34,33,28,13,10
"2011","E00004132","E00004132","Total",92,0,21,44,14,7,6
"2011","E00004137","E00004137","Total",147,2,63,58,19,2,3
"2011","E00004124","E00004124","Total",100,3,45,29,9,7,7
"2011","E00004125","E00004125","Total",178,5,95,61,9,3,5
"2011","E00004127","E00004127","Total",124,0,18,82,20,1,3
"2011","E00004130","E00004130","Total",128,1,51,45,10,4,17
"2011","E00004133","E00004133","Total",118,2,45,38,12,5,16
"2011","E00004135","E00004135","Total",105,0,86,12,7,0,0
"2011","E00004168","E00004168","Total",109,1,38,50,17,1,2
"2011","E00004448","E00004448","Total",142,0,63,32,22,23,2
"2011","E00004450","E00004450","Total",175,0,73,52,31,13,6
"2011","E00004453","E00004453","Total",144,0,17,42,54,28,3
"2011","E00004458","E00004458","Total",182,0,41,74,44,19,4
"2011","E00004462","E00004462","Total",114,0,38,36,21,14,5
"2011","E00004442","E00004442","Total",109,0,49,22,33,4,1
"2011","E00004446","E00004446","Total",118,0,20,54,36,8,0
"2011","E00004455","E00004455","Total",123,3,29,40,46,3,2
"2011","E00004460","E00004460","Total",100,2,40,34,23,1,0
"2011","E00004470","E00004470","Total",140,2,47,46,24,13,8
"2011","E00004465","E00004465","Total",166,0,44,77,32,13,0
"2011","E00004467","E00004467","Total",133,1,51,29,39,10,3
"2011","E00004474","E00004474","Total",142,0,19,57,53,8,5
"2011","E00004475","E00004475","Total",123,0,26,52,43,2,0
"2011","E00004476","E00004476","Total",134,4,50,22,45,7,6
"2011","E00004478","E00004478","Total",220,1,105,77,29,6,2
"2011","E00004459","E00004459","Total",154,0,85,65,2,0,2
"2011","E00004461","E00004461","Total",131,0,22,55,49,3,2
"2011","E00004463","E00004463","Total",139,1,53,50,31,3,1
"2011","E00004464","E00004464","Total",89,0,83,2,4,0,0
"2011","E00004468","E00004468","Total",143,0,21,39,68,13,2
"2011","E00004472","E00004472","Total",156,1,44,54,43,14,0
"2011","E00004466","E00004466","Total",121,0,61,49,10,1,0
"2011","E00004469","E00004469","Total",122,0,23,59,19,11,10
"2011","E00004471","E00004471","Total",117,2,49,52,8,4,2
"2011","E00004473","E00004473","Total",124,0,42,41,15,11,15
"2011","E00004477","E00004477","Total",163,1,69,76,17,0,0
"2011","E00004479","E00004479","Total",141,1,49,59,21,11,0
"2011","E00004282","E00004282","Total",149,1,47,55,30,9,7
"2011","E00004284","E00004284","Total",128,1,55,39,24,1,8
"2011","E00004286","E00004286","Total",158,4,76,59,11,3,5
"2011","E00004287","E00004287","Total",111,0,15,54,36,6,0
"2011","E00004289","E00004289","Total",129,1,71,36,12,4,5
"2011","E00004290","E00004290","Total",164,5,90,37,25,4,3
"2011","E00004283","E00004283","Total",137,4,66,16,23,24,4
"2011","E00004288","E00004288","Total",166,1,85,45,26,9,0
"2011","E00004291","E00004291","Total",138,1,48,27,38,23,1
